title,listing_url,status,transaction,furnishing,facing,bhk,locality,property_id,scraped_timestamp,price_in_lacs,total_floors,price_per_sqft,area_sqft_imputed,floor_number
"3 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1395-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423733363237323031,Ready to Move,New Property,Unfurnished,Missing,3,"Sector 107, Dadri Road, Noida",4d423733363237323031,2025-10-15T18:19:57.259010+00:00,85.0,22,21518.98734177215,395.0,10
"5 BHK Flat  for Sale in Sector 75, Noida",https://www.magicbricks.com/propertyDetails/5-BHK-6300-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-75-in-Noida&id=4d423831353930373935,Unknown,New Property,Semi-Furnished,Missing,5,"Sector 75, Noida",4d423831353930373935,2025-10-15T18:19:57.261096+00:00,976.0,22,325333.3333333333,300.0,10
"4 BHK  House for Sale in Sector 105, Noida Express Way Noida",https://www.magicbricks.com/propertyDetails/4-BHK-300-Sq-m-Residential-House-FOR-Sale-Sector-105-in-Noida&id=4d423831303934333633,Ready to Move,Resale,Semi-Furnished,North - East,4,"Sector 105, Noida Express Way Noida",4d423831303934333633,2025-10-15T18:19:57.262758+00:00,925.0,22,46519.66372185808,415.0,10
"4 BHK Flat  for Sale in Sector 121, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2448-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-121-in-Noida&id=4d423736373538373237,Ready to Move,Resale,Semi-Furnished,North - East,4,"Sector 121, Noida",4d423736373538373237,2025-10-15T18:19:57.264864+00:00,545.0,28,94454.07279029462,577.0,2
"4 BHK Flat  for Sale in Sector 128, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-4507-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-128-in-Noida&id=4d423737393038363431,Unknown,Resale,Semi-Furnished,North - East,4,"Sector 128, Noida Express Way, Noida",4d423737393038363431,2025-10-15T18:19:57.266894+00:00,1059.0,34,208875.73964497042,507.0,32
"4 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3200-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423830303539343733,Ready to Move,New Property,Unfurnished,North - East,4,"Sector 150, Pusta Road, Noida",4d423830303539343733,2025-10-15T18:19:57.268835+00:00,350.0,24,210843.3734939759,166.0,5
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831363338373931,Ready to Move,Resale,Semi-Furnished,East,3,"Noida Extension, Noida",4d423831363338373931,2025-10-15T18:19:57.270755+00:00,215.0,32,1075000.0,20.0,32
"4 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-1810-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831353838353933,Ready to Move,Resale,Furnished,East,4,"Noida Extension, Noida",4d423831353838353933,2025-10-15T18:19:57.274140+00:00,166.0,22,20493.827160493827,810.0,17
"3 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1755-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423738373031343031,Ready to Move,New Property,Unfurnished,East,3,"Sector 107, Dadri Road, Noida",4d423738373031343031,2025-10-15T18:19:57.276310+00:00,63.0,6,8344.370860927153,755.0,2
"1 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/1-BHK-641-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739363733323231,Ready to Move,New Property,Unfurnished,North,1,"Noida Extension, Noida",4d423739363733323231,2025-10-15T18:19:57.278705+00:00,88.0,20,22000.0,400.0,10
"3 BHK  House for Sale in Sector 144, Noida Express Way Noida",https://www.magicbricks.com/propertyDetails/3-BHK-450-Sq-m-Residential-House-FOR-Sale-Sector-144-in-Noida&id=4d423739363439363931,Ready to Move,Resale,Semi-Furnished,North,3,"Sector 144, Noida Express Way Noida",4d423739363439363931,2025-10-15T18:19:57.280380+00:00,700.0,22,46519.66372185808,415.0,10
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423738353332323733,Ready to Move,Resale,Semi-Furnished,North - East,3,"Noida Extension, Noida",4d423738353332323733,2025-10-15T18:19:57.282211+00:00,215.0,31,1075000.0,20.0,25
"3 BHK Flat  for Sale in Sector 78, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1550-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-78-in-Noida&id=4d423738303238373637,Ready to Move,Resale,Semi-Furnished,East,3,"Sector 78, Noida",4d423738303238373637,2025-10-15T18:19:57.283840+00:00,200.0,20,232558.13953488372,86.0,7
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1775-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423537393132333537,Ready to Move,New Property,Furnished,North - East,3,"Noida Extension, Noida",4d423537393132333537,2025-10-15T18:19:57.285515+00:00,164.0,32,215789.47368421053,76.0,12
