title,listing_url,area_raw,status,floor,transaction,furnishing,facing,bhk,locality,property_id,scraped_timestamp,price_raw
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2062-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423831323530393337,2062 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,,3,"Sector 150, Pusta Road, Noida",4d423831323530393337,2025-10-15T18:06:42.003377+00:00,₹2.80 Cr
"3 BHK  House for Sale in Sector 44, Dadri Road Noida",https://www.magicbricks.com/propertyDetails/3-BHK-100-Sq-m-Residential-House-FOR-Sale-Sector-44-in-Noida&id=4d423733323032363635,100 sqm,Ready to Move,Ground out of 1,Resale,Unfurnished,,3,"Sector 44, Dadri Road Noida",4d423733323032363635,2025-10-15T18:06:42.005511+00:00,₹9.60 Cr
"4 BHK Flat  for Sale in Sector 62, NH 24, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-1850-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-62-in-Noida&id=4d423830323033383737,1850 sqft,Ready to Move,2 out of 7,Resale,Semi-Furnished,,4,"Sector 62, NH 24, Noida",4d423830323033383737,2025-10-15T18:06:42.007572+00:00,₹1.50 Cr
3 BHK Flat  for Sale in  Noida,https://www.magicbricks.com/propertyDetails/3-BHK-900-Sq-ft-Builder-Floor-Apartment-FOR-Sale-in-Noida&id=4d423831313037363239,900 sqft,Ready to Move,Ground out of 2,Resale,Semi-Furnished,,3,Noida,4d423831313037363239,2025-10-15T18:06:42.009458+00:00,₹87 Lac
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1267-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831313037323831,1100 sqft,Ready to Move,18 out of 25,Resale,Unfurnished,,3,"Noida Extension, Noida",4d423831313037323831,2025-10-15T18:06:42.011543+00:00,₹65 Lac
"3 BHK Flat  for Sale in Sector 134, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1382-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-134-in-Noida&id=4d423831343734373633,1134 sqft,Ready to Move,15 out of 17,Resale,Unfurnished,East,3,"Sector 134, Noida Express Way, Noida",4d423831343734373633,2025-10-15T18:06:42.014104+00:00,₹95 Lac
"3 BHK Flat  for Sale in Sector 143, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1162-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-143-in-Noida&id=4d423630373433333531,1162 sqft,,19 out of 20,Resale,Unfurnished,,3,"Sector 143, Noida Express Way, Noida",4d423630373433333531,2025-10-15T18:06:42.015824+00:00,₹67.5 Lac
3 BHK Flat  for Sale in  Noida,https://www.magicbricks.com/propertyDetails/3-BHK-1470-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Noida&id=4d423830323031373539,1470 sqft,Ready to Move,19 out of 19,Resale,Semi-Furnished,,3,Noida,4d423830323031373539,2025-10-15T18:06:42.031970+00:00,₹1.28 Cr
"3 BHK Flat  for Sale in Sector 45 Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1290-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Noida&id=4d423739383839323033,1290 sqft,Ready to Move,2 out of 21,Resale,Semi-Furnished,North - East,3,"Sector 45 Road, Noida",4d423739383839323033,2025-10-15T18:06:42.034296+00:00,₹1.39 Cr
3 BHK  House for Sale in Sector 72 Noida,https://www.magicbricks.com/propertyDetails/3-BHK-300-Sq-m-Residential-House-FOR-Sale-Sector-72-in-Noida&id=4d423630373134373637,1100 sqft,Ready to Move,Ground out of 1,New Property,Semi-Furnished,East,3,Sector 72 Noida,4d423630373134373637,2025-10-15T18:06:42.036804+00:00,₹2.80 Cr
